"ubigeo","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
1,3.28869748130283e-05,3.46531295529952e-05,3.60834750917033e-05,3.98353461685998e-05,3.39304872022794e-05,3.55536894199654e-05
2,3.75618581025812e-05,3.89743945765115e-05,3.92255913841869e-05,4.38139585698357e-05,3.79580240917659e-05,4.07401957840351e-05
3,3.86014693184935e-05,4.04372184922348e-05,3.89075244964764e-05,4.3408260174064e-05,3.83755465854548e-05,4.10609536010213e-05
4,4.28892275962956e-05,4.38916590452108e-05,4.27761749461461e-05,4.70510622760869e-05,4.24856786335962e-05,4.60056249803555e-05
5,3.85840097566403e-05,4.01997010280403e-05,3.88227219366264e-05,4.30435461365651e-05,3.76339218263708e-05,4.05854839866181e-05
6,3.42487731313469e-05,3.60472552242541e-05,3.69464624805612e-05,4.09860385622934e-05,3.49227972657421e-05,3.69020323414423e-05
7,9.56153448816985e-05,8.27013737993336e-05,9.97864872028687e-05,0.000109882778148131,9.58142666924122e-05,0.000102225056070484
8,3.7555542463915e-05,3.93189453291246e-05,3.80334304690559e-05,4.24846981955973e-05,3.7399303320262e-05,4.04492145904005e-05
9,3.76422323595243e-05,3.93241430180723e-05,3.80802089530156e-05,4.25982890246895e-05,3.69022503150922e-05,3.95459618772975e-05
10,3.56094523659703e-05,3.72372251818351e-05,3.72678807145618e-05,4.185105994151e-05,3.55812721931942e-05,3.79789685881489e-05
11,4.36077681134473e-05,4.46844871998436e-05,4.39108586788156e-05,4.80269402613157e-05,4.30794546448515e-05,4.6536686302077e-05
12,3.65098814918425e-05,3.83283152280212e-05,3.75991413923536e-05,4.21160862117862e-05,3.60708812182626e-05,3.86330813114567e-05
13,3.75249245733201e-05,3.91115063540336e-05,3.95613320092155e-05,4.39162357622657e-05,3.77298052620315e-05,4.00478963174945e-05
14,3.94815305678863e-05,4.16716294966209e-05,4.24836041284396e-05,4.65949654807046e-05,3.95489784262578e-05,4.23862177297794e-05
15,4.91189418287492e-05,4.75843324488594e-05,4.95233202478425e-05,5.57015795571572e-05,4.78199418510582e-05,5.1486010328011e-05
16,3.39272892991409e-05,3.58297720554357e-05,3.76238741340603e-05,4.1423325680094e-05,3.56128058816711e-05,3.7350175362647e-05
17,3.85349893952358e-05,4.08530306363787e-05,4.01160400101106e-05,4.48040520395502e-05,3.86781775235868e-05,4.24571281895672e-05
18,4.46488815234889e-05,4.52752388689616e-05,4.45588030774508e-05,4.88948302610296e-05,4.46220587609664e-05,4.85769178375387e-05
19,3.58715479352493e-05,3.75923926530813e-05,3.72154912377431e-05,4.16714241602713e-05,3.51474095612896e-05,3.77465879766496e-05
20,3.8355740947453e-05,4.05047004020144e-05,4.20123977198826e-05,4.54716859888502e-05,3.92598446910787e-05,4.11757257164676e-05
21,3.91138588557887e-05,4.09717503965575e-05,3.92614123507609e-05,4.34102888012451e-05,3.88142407972637e-05,4.18129582096952e-05
22,3.43672063298113e-05,3.63487342089905e-05,3.73539911957689e-05,4.13425217608869e-05,3.54166584876275e-05,3.74316142371315e-05
23,4.56107651449129e-05,4.60340791693788e-05,4.57053112490515e-05,4.93092618262471e-05,4.49764245100444e-05,4.95580649986366e-05
24,3.94328326182878e-05,4.13241707749247e-05,4.33220821194546e-05,4.63208511186937e-05,4.16231849860822e-05,4.24748509493524e-05
25,3.6505861121574e-05,3.86091366148535e-05,3.87031578258537e-05,4.35461024917916e-05,3.67265926308662e-05,3.97612038176575e-05
